timestamp,London Temperature [2 m elevation corrected] (Celsius),Time hrs
20210101T0000,-0.8535886,0
20210101T0100,-1.1235886,1
20210101T0200,-1.2335886,2
20210101T0300,-0.9135886,3
20210101T0400,-0.7335886,4
20210101T0500,-0.4935886,5
20210101T0600,-0.20358859,6
20210101T0700,-0.28358862,7
20210101T0800,-0.5235886,8
20210101T0900,-0.6635886,9
20210101T1000,-0.09358859,10
20210101T1100,0.75641143,11
20210101T1200,1.7764114,12
20210101T1300,2.0364113,13
20210101T1400,3.8064113,14
20210101T1500,4.0464115,15
20210101T1600,4.5264115,16
20210101T1700,4.676411,17
20210101T1800,4.8164115,18
20210101T1900,4.386411,19
20210101T2000,4.2664113,20
20210101T2100,4.0664115,21
20210101T2200,4.426411,22
20210101T2300,4.5464115,23
20210102T0000,4.486411,24
20210102T0100,4.5664115,25
20210102T0200,4.596411,26
20210102T0300,3.8464112,27
20210102T0400,3.5864112,28
20210102T0500,3.6464114,29
20210102T0600,3.6264112,30
20210102T0700,3.6564114,31
20210102T0800,3.6964114,32
20210102T0900,3.2864113,33
20210102T1000,2.7764113,34
20210102T1100,3.0964112,35
20210102T1200,4.656411,36
20210102T1300,4.7464113,37
20210102T1400,5.3264112,38
20210102T1500,5.116411,39
20210102T1600,4.9364114,40
20210102T1700,4.616411,41
20210102T1800,4.3064113,42
20210102T1900,3.6564114,43
20210102T2000,2.8864112,44
20210102T2100,2.1064112,45
20210102T2200,1.5764114,46
20210102T2300,1.2064115,47
20210103T0000,1.0364114,48
20210103T0100,1.0064114,49
20210103T0200,0.7164114,50
20210103T0300,0.5764114,51
20210103T0400,0.69641143,52
20210103T0500,1.0264114,53
20210103T0600,1.2764114,54
20210103T0700,1.6664114,55
20210103T0800,2.0764112,56
20210103T0900,2.4864113,57
20210103T1000,2.3964114,58
20210103T1100,2.3264112,59
20210103T1200,2.5664113,60
20210103T1300,5.3564115,61
20210103T1400,5.8364115,62
20210103T1500,5.716411,63
20210103T1600,5.8764114,64
20210103T1700,5.0364113,65
20210103T1800,4.4964113,66
20210103T1900,3.9764113,67
20210103T2000,3.5764112,68
20210103T2100,3.3564112,69
20210103T2200,2.9164114,70
20210103T2300,2.6564114,71
20210104T0000,2.9064114,72
20210104T0100,3.0464113,73
20210104T0200,2.9464114,74
20210104T0300,2.2364113,75
20210104T0400,2.3064113,76
20210104T0500,2.5064113,77
20210104T0600,2.6764114,78
20210104T0700,3.1364112,79
20210104T0800,3.3464112,80
20210104T0900,3.4164114,81
20210104T1000,3.5364113,82
20210104T1100,4.0664115,83
20210104T1200,4.4364114,84
20210104T1300,4.946411,85
20210104T1400,4.9164114,86
20210104T1500,4.846411,87
20210104T1600,4.656411,88
20210104T1700,4.1664114,89
20210104T1800,3.5964112,90
20210104T1900,2.7564113,91
20210104T2000,1.8664114,92
20210104T2100,1.4464114,93
20210104T2200,1.2964114,94
20210104T2300,1.0164114,95
20210105T0000,0.74641144,96
20210105T0100,0.67641145,97
20210105T0200,0.6564114,98
20210105T0300,0.61641145,99
20210105T0400,0.7264114,100
20210105T0500,1.0764114,101
20210105T0600,1.7664114,102
20210105T0700,2.0364113,103
20210105T0800,2.2264113,104
20210105T0900,2.3364112,105
20210105T1000,2.6564114,106
20210105T1100,3.4664114,107
20210105T1200,3.8764112,108
20210105T1300,4.7764115,109
20210105T1400,4.886411,110
20210105T1500,4.7264113,111
20210105T1600,4.616411,112
20210105T1700,4.096411,113
20210105T1800,3.7664113,114
20210105T1900,3.4064114,115
20210105T2000,3.1064112,116
20210105T2100,2.9764113,117
20210105T2200,3.0864112,118
20210105T2300,3.2164114,119
20210106T0000,3.1964114,120
20210106T0100,2.9364114,121
20210106T0200,2.8464112,122
20210106T0300,2.7764113,123
20210106T0400,2.7464113,124
20210106T0500,2.7164114,125
20210106T0600,2.6864114,126
20210106T0700,2.5864112,127
20210106T0800,2.5264113,128
20210106T0900,2.4064114,129
20210106T1000,2.2764113,130
20210106T1100,2.6564114,131
20210106T1200,2.9164114,132
20210106T1300,4.386411,133
20210106T1400,4.7264113,134
20210106T1500,4.3064113,135
20210106T1600,4.0464115,136
20210106T1700,3.4464114,137
20210106T1800,2.6464114,138
20210106T1900,2.0164113,139
20210106T2000,1.4864115,140
20210106T2100,1.4964114,141
20210106T2200,1.0164114,142
20210106T2300,1.8064114,143
20210107T0000,2.0564113,144
20210107T0100,1.8764114,145
20210107T0200,1.7464114,146
20210107T0300,0.7964114,147
20210107T0400,-0.043588594,148
20210107T0500,-0.6035886,149
20210107T0600,-0.9735886,150
20210107T0700,-1.2435886,151
20210107T0800,-1.5435885,152
20210107T0900,-1.8535886,153
20210107T1000,-1.4935886,154
20210107T1100,-0.7235886,155
20210107T1200,0.75641143,156
20210107T1300,2.1564114,157
20210107T1400,3.1364112,158
20210107T1500,3.6164112,159
20210107T1600,3.6164112,160
20210107T1700,2.8864112,161
20210107T1800,2.3264112,162
20210107T1900,1.9464114,163
20210107T2000,1.5064114,164
20210107T2100,0.8464114,165
20210107T2200,0.3864114,166
20210107T2300,0.036411405,167
20210108T0000,0.15641141,168
20210108T0100,0.18641141,169
20210108T0200,-0.023588592,170
20210108T0300,-0.12358859,171
20210108T0400,-0.28358862,172
20210108T0500,-0.6035886,173
20210108T0600,-0.6435886,174
20210108T0700,-0.6535886,175
20210108T0800,-0.5935886,176
20210108T0900,-0.50358856,177
20210108T1000,-0.033588596,178
20210108T1100,0.74641144,179
20210108T1200,1.4364114,180
20210108T1300,2.0664113,181
20210108T1400,2.4864113,182
20210108T1500,2.8264112,183
20210108T1600,3.0764112,184
20210108T1700,2.7664113,185
20210108T1800,2.8464112,186
20210108T1900,2.3364112,187
20210108T2000,1.5764114,188
20210108T2100,1.8164114,189
20210108T2200,1.5564114,190
20210108T2300,2.0364113,191
20210109T0000,1.6164114,192
20210109T0100,1.8764114,193
20210109T0200,1.5264114,194
20210109T0300,0.6564114,195
20210109T0400,-0.08358859,196
20210109T0500,-0.12358859,197
20210109T0600,-0.003588593,198
20210109T0700,0.1364114,199
20210109T0800,0.006411407,200
20210109T0900,-1.1935886,201
20210109T1000,-1.1635885,202
20210109T1100,0.4464114,203
20210109T1200,2.0664113,204
20210109T1300,3.3164113,205
20210109T1400,3.7964113,206
20210109T1500,4.0564113,207
20210109T1600,3.8764112,208
20210109T1700,3.4064114,209
20210109T1800,3.1864114,210
20210109T1900,2.9364114,211
20210109T2000,2.6364112,212
20210109T2100,2.4064114,213
20210109T2200,2.1764114,214
20210109T2300,1.8264114,215
20210110T0000,1.4564115,216
20210110T0100,1.0864115,217
20210110T0200,0.2864114,218
20210110T0300,-0.23358859,219
20210110T0400,-0.47358862,220
20210110T0500,-0.6635886,221
20210110T0600,-0.6735886,222
20210110T0700,-0.2635886,223
20210110T0800,0.3164114,224
20210110T0900,0.61641145,225
20210110T1000,1.1964114,226
20210110T1100,1.6864114,227
20210110T1200,2.4464114,228
20210110T1300,3.1364112,229
20210110T1400,3.7564113,230
20210110T1500,4.1864114,231
20210110T1600,4.196411,232
20210110T1700,3.6064112,233
20210110T1800,3.7164114,234
20210110T1900,3.7464113,235
20210110T2000,3.5364113,236
20210110T2100,2.9764113,237
20210110T2200,2.2264113,238
20210110T2300,1.1564114,239
20210111T0000,0.7264114,240
20210111T0100,0.74641144,241
20210111T0200,1.0164114,242
20210111T0300,1.1164114,243
20210111T0400,1.0964115,244
20210111T0500,0.8964114,245
20210111T0600,1.3664114,246
20210111T0700,1.8964114,247
20210111T0800,2.2264113,248
20210111T0900,2.4264114,249
20210111T1000,2.9164114,250
20210111T1100,3.7764113,251
20210111T1200,5.756411,252
20210111T1300,7.256411,253
20210111T1400,7.8164115,254
20210111T1500,8.2964115,255
20210111T1600,8.556412,256
20210111T1700,8.616412,257
20210111T1800,7.7664113,258
20210111T1900,7.6264114,259
20210111T2000,7.3364115,260
20210111T2100,7.3164115,261
20210111T2200,7.5364113,262
20210111T2300,7.8564115,263
20210112T0000,8.036412,264
20210112T0100,8.156412,265
20210112T0200,8.276412,266
20210112T0300,8.346412,267
20210112T0400,8.576412,268
20210112T0500,8.646412,269
20210112T0600,8.786412,270
20210112T0700,8.826412,271
20210112T0800,8.446412,272
20210112T0900,8.316412,273
20210112T1000,8.126411,274
20210112T1100,7.5264115,275
20210112T1200,6.466411,276
20210112T1300,6.4564114,277
20210112T1400,6.7464113,278
20210112T1500,6.926411,279
20210112T1600,6.5664115,280
20210112T1700,5.7264113,281
20210112T1800,4.756411,282
20210112T1900,4.2664113,283
20210112T2000,3.7164114,284
20210112T2100,3.2664113,285
20210112T2200,2.7964113,286
20210112T2300,2.3464112,287
20210113T0000,2.0864112,288
20210113T0100,1.8464115,289
20210113T0200,1.7464114,290
20210113T0300,1.6264114,291
20210113T0400,1.4964114,292
20210113T0500,1.5664114,293
20210113T0600,1.6964114,294
20210113T0700,2.1264112,295
20210113T0800,2.2564113,296
20210113T0900,2.4464114,297
20210113T1000,2.8964114,298
20210113T1100,3.7164114,299
20210113T1200,4.1464114,300
20210113T1300,4.6064115,301
20210113T1400,5.716411,302
20210113T1500,6.386411,303
20210113T1600,6.7764115,304
20210113T1700,7.426411,305
20210113T1800,8.396412,306
20210113T1900,8.746411,307
20210113T2000,8.766412,308
20210113T2100,8.656412,309
20210113T2200,8.356412,310
20210113T2300,7.756411,311
